 X,Y,Z,VX,VY,VZ,D,Masa,RHO
 -6.63155374400879304E-003 , -2.00937483044231896E-002 , -8.70588212518517588E-004 ,  -221.57787953466757      ,  -725.35593689807558      ,  -92.209805734223352      ,  2.11776804635673693E-002 ,  6.09120861045932683E-004 ,  8.08670425318484692E-019
  2.09101357500312375E-003 , -4.23179261281969414E-003 , -1.27213776235122881E-004 ,   682.51557362051756      ,   582.99334419671345      ,   23.110659217511287      ,  4.72192649599998283E-003 ,  3.77424920776870234E-004 ,  1.37943585119020389E-015
  9.99001932981616846E-003 , -1.92877053414813285E-003 , -1.98475339987105393E-003 ,  -278.00113361617463      ,   165.18123019120560      ,  -104.21727140228001      ,  1.03662861257925194E-002 ,  3.70091646562100047E-004 ,  5.31074035451529396E-017
 -1.44646480664161279E-002 , -1.19337272774289009E-002 , -3.27638868825427560E-004 ,   129.04303495451180      ,  -520.85925118859166      ,  -55.977031096976376      ,  1.87549256902204663E-002 ,  7.69841092874336860E-004 ,  2.13464152683745547E-018
  3.31299378659977856E-003 ,  3.48734441400862672E-003 , -7.22606378491617417E-003 ,  -389.41947179195449      ,   64.038239780165711      ,  -990.27074189780933      ,  8.68063918819593494E-003 ,  8.19477631008495118E-006 ,  2.99090624613847391E-018
  1.61049930149794462E-002 , -5.71631638230859097E-003 , -1.08423582244887313E-003 ,   231.82112094224610      ,   321.81863859857646      ,  -142.04377400310713      ,  1.71237449266761661E-002 ,  8.52321876275743875E-004 ,  1.25362893295759767E-017
 -1.53495327352436532E-002 ,  6.81422713687628197E-003 , -2.42265105609599856E-003 ,  -569.03699694446436      ,  -155.27923991941918      ,   105.66797585182380      ,  1.69679428571309354E-002 ,  6.07117578240596255E-004 ,  1.08591438798203070E-017
 -1.64416209986359939E-002 , -2.60503328522200227E-002 ,  7.99474894773919559E-003 ,  -551.45105210015151      ,  -1163.8945549672633      ,   495.35255858394942      ,  3.18255047644435476E-002 ,  1.00701829533746926E-003 ,  1.38359086666842858E-019
 -2.87966215145025800E-003 , -4.73973809833132514E-003 , -5.59409567111134173E-004 ,   288.91446255186258      ,  -401.51195988409722      ,  -328.32010901407324      ,  5.57409278816239657E-003 ,  5.00350856053065883E-004 ,  6.34170736509163092E-017
 -2.22563643648437531E-002 ,  3.16588655751245882E-002 ,  5.34093112075171607E-003 ,  -131.26163183958076      ,   337.06615091264143      ,   111.60478738732003      ,  3.90660347294310081E-002 ,  2.57258045333177271E-004 ,  6.93692706369596304E-020
